zone,datetime,createdAt,updatedAt,value,unit,source,isEstimated,estimationMethod
VN,2024-01-01 00:00:00+00:00,2025-11-06T11:16:38.378Z,2025-11-17T10:23:21.707Z,22737010.87210071,MWh,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL,True,SANDBOX_MODE_DATA
VN,2024-02-01 00:00:00+00:00,2025-11-06T11:16:38.378Z,2025-11-17T10:23:21.707Z,24268920.240889773,MWh,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL,True,SANDBOX_MODE_DATA
VN,2024-03-01 00:00:00+00:00,2025-11-06T11:16:38.378Z,2025-11-17T10:23:21.707Z,16692438.82921153,MWh,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL,True,SANDBOX_MODE_DATA
VN,2024-04-01 00:00:00+00:00,2025-11-06T11:16:38.378Z,2025-11-17T10:23:21.707Z,22145134.535430916,MWh,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL,True,SANDBOX_MODE_DATA
VN,2024-04-01 00:00:00+00:00,2025-11-06T11:16:38.378Z,2025-11-17T10:23:21.707Z,25452585.06083901,MWh,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL,True,SANDBOX_MODE_DATA
VN,2024-05-01 00:00:00+00:00,2025-11-06T11:16:38.378Z,2025-11-17T10:23:21.707Z,29080225.071941033,MWh,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL,True,SANDBOX_MODE_DATA
VN,2024-06-01 00:00:00+00:00,2025-11-06T11:16:38.378Z,2025-11-17T10:23:21.707Z,20883012.740352646,MWh,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL,True,SANDBOX_MODE_DATA
VN,2024-07-01 00:00:00+00:00,2025-11-06T11:16:38.378Z,2025-11-17T10:23:21.707Z,22949642.41408066,MWh,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL,True,SANDBOX_MODE_DATA
VN,2024-07-01 00:00:00+00:00,2025-11-06T11:16:38.378Z,2025-11-17T10:23:21.707Z,26377248.904297993,MWh,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL,True,SANDBOX_MODE_DATA
VN,2024-08-01 00:00:00+00:00,2025-11-06T11:16:38.378Z,2025-11-17T10:23:21.707Z,26934792.857421085,MWh,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL,True,SANDBOX_MODE_DATA
VN,2024-09-01 00:00:00+00:00,2025-11-06T11:16:38.378Z,2025-11-17T10:23:21.707Z,20696763.59686651,MWh,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL,True,SANDBOX_MODE_DATA
VN,2024-10-01 00:00:00+00:00,2025-11-06T11:16:38.378Z,2025-11-17T10:23:21.707Z,21577746.462083995,MWh,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL,True,SANDBOX_MODE_DATA
VN,2024-10-01 00:00:00+00:00,2025-11-06T11:16:38.378Z,2025-11-17T10:23:21.707Z,24800455.665270764,MWh,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL,True,SANDBOX_MODE_DATA
VN,2024-11-01 00:00:00+00:00,2025-11-06T11:16:38.378Z,2025-11-17T10:23:21.707Z,30365360.630974174,MWh,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL,True,SANDBOX_MODE_DATA
VN,2024-12-01 00:00:00+00:00,2025-11-06T11:16:38.378Z,2025-11-17T10:23:21.707Z,20883009.63622612,MWh,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL,True,SANDBOX_MODE_DATA
